X,Y,OBJECTID,LANDMARKID,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LANDMARK,MORNING_BELL,NUTRITION_BREAK1,LUNCH,NUTRITION_BREAK2,AFTERNOON_DISMISSAL,PROPERTYUNITID,CIVIC_NO,STREET,STATUS,STATUS_DATE,MUNICIPAL_FACILITY,COMMON_LOCATION_REFERENCE,LOCATION_DESCRIPTION,ON_CALL,DIVISION_RESPONSIBLE,OWNERSHIP,ENFORCEMENT_AREA
-80.44788263122031,43.453661601513112,78,110,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,SENIOR ELEMENTARY SCHOOL,STANLEY PARK PUBLIC SCHOOL,08:30,,,,14:50,1053922,191,HICKSON DR,ACTIVE,,N - NO,,Stanley Park P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.439062870922683,43.384265730009538,79,5245,2008-08-21T11:17:15.000Z,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,J.W. GERTH PUBLIC SCHOOL,09:10,,,,15:30,40239240,171,APPLE RIDGE DR,ACTIVE,,N - NO,15,J.W. Gerth P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.488060303080218,43.467691752516529,80,139,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. TERESA CATHOLIC SCHOOL,08:30,,11:15 - 12:15,,15:10,4014722,270,EDWIN ST,ACTIVE,,N - NO,43,St. Teresa C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,1
-80.505756298415889,43.45468962427563,81,142,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,KING EDWARD PUBLIC SCHOOL,09:10,<Null>,,<Null>,15:30,1076211,709,KING ST W,ACTIVE,,N - NO,19,King Edward P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.466274103652339,43.394886300728366,82,3324,2006-01-12T10:13:10.000Z,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,SECONDARY,SEMESTERED SECONDARY SCHOOL,HURON HEIGHTS SECONDARY SCHOOL,08:20,,,,14:40,1063666,1825,STRASBURG RD,ACTIVE,,N - NO,,Huron Heights S.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.535150697883111,43.419118663030595,83,164,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,SENIOR ELEMENTARY SCHOOL,WESTHEIGHTS PUBLIC SCHOOL,08:30,,,,14:50,1011774,429,WESTHEIGHTS DR,ACTIVE,,N - NO,,Westheights P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.420251520165849,43.387144726217983,84,130,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2008-08-20T00:00:00.000Z,ELEMENTARY,SENIOR ELEMENTARY SCHOOL,DOON PUBLIC SCHOOL,08:40,10:50 - 11:30,,12:50 - 13:30,15:00,1072276,1401,DOON VILLAGE RD,ACTIVE,,N - NO,,Doon P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.458344724347512,43.461768448473485,85,109,,2019-03-12T17:00:20.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY AND SECONDARY,SPECIAL EDUCATION SCHOOL,ROSEMOUNT PUBLIC SCHOOL,09:00,<Null>,,,14:30,1013297,80,BURLINGTON DR,ACTIVE,,N - NO,,Rosemount P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.454925990636454,43.384636466852065,86,136,,2019-03-13T16:40:34.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,BRIGADOON PUBLIC SCHOOL,09:10,<Null>,,<Null>,15:30,1004297,415,CARYNDALE DR,ACTIVE,,N - NO,5,Brigadoon P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.511234755288072,43.43392354077411,87,152,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,SENIOR ELEMENTARY SCHOOL,QUEENSMOUNT SENIOR PUBLIC SCHOOL,08:30,10:40 - 11:20,,12:40 - 13:20,14:50,1044513,21,WESTMOUNT RD W,ACTIVE,,N - NO,,Queensmount P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
